year,city,country,avg_temp
1816,Lahore,Pakistan,24.69
1817,Lahore,Pakistan,22.74
1818,Lahore,Pakistan,23.43
1819,Lahore,Pakistan,22.83
1820,Lahore,Pakistan,24.22
1821,Lahore,Pakistan,23.71
1822,Lahore,Pakistan,23.81
1823,Lahore,Pakistan,24.41
1824,Lahore,Pakistan,
1825,Lahore,Pakistan,
1826,Lahore,Pakistan,
1827,Lahore,Pakistan,
1828,Lahore,Pakistan,
1829,Lahore,Pakistan,
1830,Lahore,Pakistan,
1831,Lahore,Pakistan,
1832,Lahore,Pakistan,
1833,Lahore,Pakistan,23.73
1834,Lahore,Pakistan,23.73
1835,Lahore,Pakistan,22.86
1836,Lahore,Pakistan,22.74
1837,Lahore,Pakistan,24.37
1838,Lahore,Pakistan,27.70
1839,Lahore,Pakistan,
1840,Lahore,Pakistan,23.52
1841,Lahore,Pakistan,24.03
1842,Lahore,Pakistan,25.04
1843,Lahore,Pakistan,23.71
1844,Lahore,Pakistan,23.23
1845,Lahore,Pakistan,23.49
1846,Lahore,Pakistan,24.15
1847,Lahore,Pakistan,23.62
1848,Lahore,Pakistan,23.27
1849,Lahore,Pakistan,23.43
1850,Lahore,Pakistan,23.59
1851,Lahore,Pakistan,23.61
1852,Lahore,Pakistan,23.56
1853,Lahore,Pakistan,23.66
1854,Lahore,Pakistan,23.86
1855,Lahore,Pakistan,24.35
1856,Lahore,Pakistan,22.86
1857,Lahore,Pakistan,23.20
1858,Lahore,Pakistan,
1859,Lahore,Pakistan,
1860,Lahore,Pakistan,
1861,Lahore,Pakistan,
1862,Lahore,Pakistan,
1863,Lahore,Pakistan,
1864,Lahore,Pakistan,
1865,Lahore,Pakistan,
1866,Lahore,Pakistan,
1867,Lahore,Pakistan,
1868,Lahore,Pakistan,
1869,Lahore,Pakistan,
1870,Lahore,Pakistan,23.88
1871,Lahore,Pakistan,23.79
1872,Lahore,Pakistan,23.89
1873,Lahore,Pakistan,24.02
1874,Lahore,Pakistan,23.30
1875,Lahore,Pakistan,24.29
1876,Lahore,Pakistan,23.58
1877,Lahore,Pakistan,23.75
1878,Lahore,Pakistan,23.67
1879,Lahore,Pakistan,24.00
1880,Lahore,Pakistan,24.66
1881,Lahore,Pakistan,24.31
1882,Lahore,Pakistan,23.85
1883,Lahore,Pakistan,23.79
1884,Lahore,Pakistan,23.57
1885,Lahore,Pakistan,23.20
1886,Lahore,Pakistan,23.73
1887,Lahore,Pakistan,23.83
1888,Lahore,Pakistan,23.92
1889,Lahore,Pakistan,23.95
1890,Lahore,Pakistan,23.73
1891,Lahore,Pakistan,23.37
1892,Lahore,Pakistan,24.46
1893,Lahore,Pakistan,22.92
1894,Lahore,Pakistan,23.54
1895,Lahore,Pakistan,24.23
1896,Lahore,Pakistan,24.62
1897,Lahore,Pakistan,23.81
1898,Lahore,Pakistan,24.37
1899,Lahore,Pakistan,24.69
1900,Lahore,Pakistan,24.24
1901,Lahore,Pakistan,24.06
1902,Lahore,Pakistan,24.58
1903,Lahore,Pakistan,23.66
1904,Lahore,Pakistan,24.18
1905,Lahore,Pakistan,23.59
1906,Lahore,Pakistan,24.02
1907,Lahore,Pakistan,23.72
1908,Lahore,Pakistan,23.83
1909,Lahore,Pakistan,23.51
1910,Lahore,Pakistan,23.53
1911,Lahore,Pakistan,24.07
1912,Lahore,Pakistan,24.10
1913,Lahore,Pakistan,23.61
1914,Lahore,Pakistan,23.70
1915,Lahore,Pakistan,24.82
1916,Lahore,Pakistan,23.99
1917,Lahore,Pakistan,23.16
1918,Lahore,Pakistan,24.00
1919,Lahore,Pakistan,23.86
1920,Lahore,Pakistan,23.78
1921,Lahore,Pakistan,25.08
1922,Lahore,Pakistan,24.17
1923,Lahore,Pakistan,23.72
1924,Lahore,Pakistan,23.71
1925,Lahore,Pakistan,23.73
1926,Lahore,Pakistan,23.46
1927,Lahore,Pakistan,23.65
1928,Lahore,Pakistan,24.28
1929,Lahore,Pakistan,24.01
1930,Lahore,Pakistan,23.65
1931,Lahore,Pakistan,24.08
1932,Lahore,Pakistan,24.47
1933,Lahore,Pakistan,23.69
1934,Lahore,Pakistan,24.05
1935,Lahore,Pakistan,23.70
1936,Lahore,Pakistan,24.11
1937,Lahore,Pakistan,23.94
1938,Lahore,Pakistan,24.40
1939,Lahore,Pakistan,24.20
1940,Lahore,Pakistan,24.35
1941,Lahore,Pakistan,25.21
1942,Lahore,Pakistan,24.34
1943,Lahore,Pakistan,24.37
1944,Lahore,Pakistan,23.67
1945,Lahore,Pakistan,23.77
1946,Lahore,Pakistan,25.05
1947,Lahore,Pakistan,25.33
1948,Lahore,Pakistan,24.38
1949,Lahore,Pakistan,24.29
1950,Lahore,Pakistan,23.22
1951,Lahore,Pakistan,24.29
1952,Lahore,Pakistan,24.61
1953,Lahore,Pakistan,24.95
1954,Lahore,Pakistan,24.35
1955,Lahore,Pakistan,24.11
1956,Lahore,Pakistan,24.19
1957,Lahore,Pakistan,23.45
1958,Lahore,Pakistan,24.69
1959,Lahore,Pakistan,24.29
1960,Lahore,Pakistan,24.28
1961,Lahore,Pakistan,23.79
1962,Lahore,Pakistan,24.01
1963,Lahore,Pakistan,24.52
1964,Lahore,Pakistan,23.78
1965,Lahore,Pakistan,23.99
1966,Lahore,Pakistan,23.99
1967,Lahore,Pakistan,23.91
1968,Lahore,Pakistan,23.89
1969,Lahore,Pakistan,24.66
1970,Lahore,Pakistan,24.71
1971,Lahore,Pakistan,24.41
1972,Lahore,Pakistan,24.06
1973,Lahore,Pakistan,24.34
1974,Lahore,Pakistan,24.14
1975,Lahore,Pakistan,23.64
1976,Lahore,Pakistan,23.77
1977,Lahore,Pakistan,24.32
1978,Lahore,Pakistan,24.29
1979,Lahore,Pakistan,24.39
1980,Lahore,Pakistan,24.85
1981,Lahore,Pakistan,24.63
1982,Lahore,Pakistan,23.98
1983,Lahore,Pakistan,23.75
1984,Lahore,Pakistan,24.52
1985,Lahore,Pakistan,25.02
1986,Lahore,Pakistan,24.08
1987,Lahore,Pakistan,25.05
1988,Lahore,Pakistan,25.24
1989,Lahore,Pakistan,24.23
1990,Lahore,Pakistan,24.81
1991,Lahore,Pakistan,24.38
1992,Lahore,Pakistan,24.31
1993,Lahore,Pakistan,25.04
1994,Lahore,Pakistan,24.78
1995,Lahore,Pakistan,24.58
1996,Lahore,Pakistan,24.43
1997,Lahore,Pakistan,23.76
1998,Lahore,Pakistan,24.91
1999,Lahore,Pakistan,25.50
2000,Lahore,Pakistan,25.32
2001,Lahore,Pakistan,25.18
2002,Lahore,Pakistan,25.61
2003,Lahore,Pakistan,24.71
2004,Lahore,Pakistan,25.55
2005,Lahore,Pakistan,24.66
2006,Lahore,Pakistan,25.17
2007,Lahore,Pakistan,25.16
2008,Lahore,Pakistan,24.89
2009,Lahore,Pakistan,25.37
2010,Lahore,Pakistan,25.48
2011,Lahore,Pakistan,24.98
2012,Lahore,Pakistan,24.87
2013,Lahore,Pakistan,25.95
